gene,systems
Adam32,adipose tissue|behavior/neurological|growth/size/body region|skeleton|vision/eye
Adam33,homeostasis/metabolism|normal|vision/eye
Adam5,hematopoietic system|reproductive system
Adam7,cardiovascular system|cellular|immune system|muscle|reproductive system|vision/eye
Adam8,cellular|hematopoietic system|homeostasis/metabolism|immune system|normal|skeleton
Adam9,cardiovascular system|cellular|homeostasis/metabolism|integument|neoplasm|normal|pigmentation|vision/eye
Adamdec1,digestive/alimentary|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system
Adamts1,adipose tissue|cardiovascular system|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|renal/urinary system|reproductive system|vision/eye
Adamts10,cellular|growth/size/body region|integument|limbs/digits/tail|muscle|respiratory system|skeleton|vision/eye
Adamts12,cardiovascular system|endocrine/exocrine gland|neoplasm|reproductive system|vision/eye
Adamts13,hematopoietic system|homeostasis/metabolism|immune system|normal
Adamts14,cellular|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|normal|reproductive system|skeleton|vision/eye
Adamts15,hearing/vestibular/ear|homeostasis/metabolism|reproductive system
Adamts16,adipose tissue|behavior/neurological|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|renal/urinary system|reproductive system|respiratory system|skeleton
Adamts17,adipose tissue|craniofacial|growth/size/body region|homeostasis/metabolism|integument|limbs/digits/tail|skeleton
Adamts18,cellular|digestive/alimentary|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|renal/urinary system|reproductive system|respiratory system|vision/eye
Adamts19,cardiovascular system
Adamts2,cellular|craniofacial|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|muscle|normal|reproductive system|respiratory system|skeleton
Adamts20,cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|integument|limbs/digits/tail|nervous system|pigmentation
Adamts3,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|neoplasm|nervous system|renal/urinary system|skeleton|vision/eye
Adamts4,behavior/neurological|cellular|nervous system|normal|renal/urinary system|skeleton
Adamts5,behavior/neurological|cellular|immune system|limbs/digits/tail|normal|skeleton
Adamts6,cardiovascular system|craniofacial|digestive/alimentary|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|muscle|renal/urinary system|skeleton|vision/eye
Adamts7,behavior/neurological|cardiovascular system|cellular|hematopoietic system|homeostasis/metabolism|liver/biliary system|respiratory system
Adamts9,cardiovascular system|cellular|craniofacial|digestive/alimentary|embryo|growth/size/body region|immune system|integument|limbs/digits/tail|nervous system|normal|pigmentation|vision/eye
Adamtsl2,behavior/neurological|craniofacial|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|muscle|reproductive system|respiratory system|skeleton
Adamtsl3,cardiovascular system|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|renal/urinary system|reproductive system|skeleton
Adamtsl4,behavior/neurological|hematopoietic system|integument|pigmentation|vision/eye
Adamtsl5,behavior/neurological
Adap1,behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system|neoplasm|nervous system
Adar,cardiovascular system|cellular|embryo|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|renal/urinary system
Adarb1,behavior/neurological|growth/size/body region|muscle|nervous system|normal
Adarb2,behavior/neurological|endocrine/exocrine gland|hematopoietic system|immune system|integument|renal/urinary system|reproductive system|skeleton
Adat2,
Adaz1,immune system
Adbg1,growth/size/body region|limbs/digits/tail
Adck1,immune system
Adck2,adipose tissue|behavior/neurological|cellular|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|renal/urinary system
Adck5,behavior/neurological|homeostasis/metabolism|renal/urinary system
Adcy1,behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system|integument|nervous system|pigmentation
Adcy10,cardiovascular system|cellular|homeostasis/metabolism|reproductive system
Adcy2,homeostasis/metabolism
Adcy3,adipose tissue|behavior/neurological|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|liver/biliary system|nervous system|normal|renal/urinary system|reproductive system|taste/olfaction
Adcy4,normal
Adcy5,behavior/neurological|homeostasis/metabolism
Adcy6,behavior/neurological|cardiovascular system|homeostasis/metabolism|muscle|renal/urinary system
Adcy7,behavior/neurological|digestive/alimentary|immune system
Adcy8,behavior/neurological|growth/size/body region|homeostasis/metabolism|nervous system
Adcy9,cardiovascular system|craniofacial|digestive/alimentary|embryo|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|nervous system|normal|respiratory system|skeleton|vision/eye
Adcyap1,adipose tissue|behavior/neurological|cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|nervous system|reproductive system|vision/eye
Adcyap1r1,behavior/neurological|growth/size/body region|homeostasis/metabolism|immune system|nervous system|normal|reproductive system
Add1,growth/size/body region|hematopoietic system|nervous system
Add2,behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|nervous system|renal/urinary system
Add3,hematopoietic system|normal
Adgb,behavior/neurological|cellular|endocrine/exocrine gland|hematopoietic system|immune system|muscle|nervous system|renal/urinary system|reproductive system|vision/eye
Adgra1,adipose tissue|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|skeleton
Adgra2,cardiovascular system|craniofacial|digestive/alimentary|embryo|growth/size/body region|nervous system|normal|respiratory system
Adgra3,normal
Adgrb1,behavior/neurological|hematopoietic system|homeostasis/metabolism|immune system|nervous system
Adgrb2,behavior/neurological
Adgrb3,behavior/neurological|homeostasis/metabolism|nervous system
Adgrd1,immune system|reproductive system|skeleton
Adgre1,hematopoietic system|immune system
Adgre5,hematopoietic system|immune system|normal
Adgrf1,cardiovascular system|growth/size/body region|hematopoietic system|immune system|vision/eye
Adgrf2,craniofacial|growth/size/body region|skeleton
Adgrf3,reproductive system
Adgrf4,vision/eye
Adgrf5,cellular|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|respiratory system|skeleton
Adgrg1,behavior/neurological|cellular|endocrine/exocrine gland|nervous system|reproductive system
Adgrg2,cellular|endocrine/exocrine gland|homeostasis/metabolism|reproductive system
Adgrg3,cellular|hematopoietic system|immune system
Adgrg5,growth/size/body region|homeostasis/metabolism
Adgrg6,behavior/neurological|cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|limbs/digits/tail|muscle|nervous system|normal|reproductive system|skeleton
Adgrg7,digestive/alimentary|growth/size/body region|muscle|vision/eye
Adgrl1,behavior/neurological|nervous system
Adgrl2,behavior/neurological|cardiovascular system
Adgrl3,behavior/neurological|homeostasis/metabolism|integument|nervous system|normal
Adgrl4,behavior/neurological|cardiovascular system|hematopoietic system|immune system|integument|liver/biliary system|neoplasm|normal|vision/eye
Adgrv1,behavior/neurological|endocrine/exocrine gland|hearing/vestibular/ear|limbs/digits/tail|nervous system|reproductive system|skeleton|vision/eye
Adh1,behavior/neurological|growth/size/body region|homeostasis/metabolism
Adh5,behavior/neurological|cardiovascular system|homeostasis/metabolism|immune system
Adh7,behavior/neurological|growth/size/body region|homeostasis/metabolism|nervous system|taste/olfaction
Adig,adipose tissue|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|liver/biliary system|vision/eye
Adip1,adipose tissue|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system
Adip10,adipose tissue
Adip11,adipose tissue
Adip12,adipose tissue
Adip13,adipose tissue
Adip14,adipose tissue
Adip15,adipose tissue
Adip16,adipose tissue
Adip17,adipose tissue
Adip18,adipose tissue
Adip2,adipose tissue
Adip20,adipose tissue|growth/size/body region
Adip3,adipose tissue
Adip4,adipose tissue|limbs/digits/tail
Adip5,adipose tissue
Adip6,adipose tissue|growth/size/body region
Adip7,adipose tissue
Adip8,adipose tissue
Adip9,adipose tissue
Adipoq,adipose tissue|behavior/neurological|cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|neoplasm|renal/urinary system|respiratory system|skeleton
Adipor1,adipose tissue|behavior/neurological|cardiovascular system|cellular|growth/size/body region|hearing/vestibular/ear|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|muscle|normal|vision/eye
Adipor2,adipose tissue|behavior/neurological|cellular|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|nervous system|reproductive system
Adissp,adipose tissue|cellular|growth/size/body region|homeostasis/metabolism
Adk,behavior/neurological|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|nervous system|respiratory system|skeleton|vision/eye
Adm,behavior/neurological|cardiovascular system|cellular|embryo|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|integument|liver/biliary system|muscle|renal/urinary system|reproductive system|respiratory system
Adm2,cardiovascular system|cellular|endocrine/exocrine gland|hematopoietic system|homeostasis/metabolism|immune system|liver/biliary system|renal/urinary system|reproductive system|respiratory system
Adnp,embryo|nervous system
Adnp2,behavior/neurological|endocrine/exocrine gland|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|limbs/digits/tail|liver/biliary system|nervous system|renal/urinary system|reproductive system|respiratory system|skeleton
Adora1,behavior/neurological|growth/size/body region|hematopoietic system|homeostasis/metabolism|nervous system|normal|renal/urinary system|respiratory system
Adora2a,adipose tissue|behavior/neurological|cardiovascular system|growth/size/body region|hematopoietic system|homeostasis/metabolism|immune system|muscle|nervous system|respiratory system|vision/eye
Adora2b,behavior/neurological|cardiovascular system|cellular|embryo|hematopoietic system|homeostasis/metabolism|immune system|nervous system|reproductive system|vision/eye
Adora3,behavior/neurological|cardiovascular system|cellular|hematopoietic system|homeostasis/metabolism|immune system|renal/urinary system|respiratory system|vision/eye
Adpgk,adipose tissue|behavior/neurological|growth/size/body region|skeleton
Adprh,immune system
Adprm,behavior/neurological|cardiovascular system|homeostasis/metabolism
Adprs,adipose tissue|growth/size/body region|homeostasis/metabolism|nervous system|skeleton
Adra1a,behavior/neurological|cardiovascular system|growth/size/body region|homeostasis/metabolism|muscle|renal/urinary system
Adra1b,adipose tissue|behavior/neurological|cardiovascular system|cellular|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|liver/biliary system|muscle|nervous system|renal/urinary system|reproductive system
Adra1d,behavior/neurological|cardiovascular system|muscle|nervous system
Adra2a,behavior/neurological|cardiovascular system|embryo|endocrine/exocrine gland|growth/size/body region|homeostasis/metabolism|nervous system|normal|reproductive system
Adra2b,cardiovascular system|cellular|embryo|growth/size/body region|homeostasis/metabolism|muscle|reproductive system|respiratory system
Adra2c,behavior/neurological|cardiovascular system|embryo|growth/size/body region|nervous system
Adrb1,adipose tissue|cardiovascular system|growth/size/body region|homeostasis/metabolism|muscle
